year;seed;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
2006;54037;54037;54037;54037;54037;54037;54037;54037;54037;54037;54037;54037;54037
2007;;56903;56903;56903;56903;56903;56903;56903;56903;56903;56903;56903;56903
2008;;54677;54677;54677;54677;54677;54677;54677;54677;54677;54677;54677;54677
2009;;51226;51226;51226;51226;51226;51226;51226;51226;51226;51226;51226;51226
2010;;49509;49509;49509;49509;49509;49509;49509;49509;49509;49509;49509;49509
2011;;48991;48991;48991;48991;48991;48991;48991;48991;48991;48991;48991;48991
2012;;47160;47160;47160;47160;47160;47160;47160;47160;47160;47160;47160;47160
2013;;42883;42883;42883;42883;42883;42883;42883;42883;42883;42883;42883;42883
2014;;37798;37798;37798;37798;37798;37798;37798;37798;37798;37798;37798;37798
2015;;33860;33860;33860;33860;33860;33860;33860;33860;33860;33860;33860;33860
2016;;31232;31232;31232;31232;31232;31232;31232;31232;31232;31232;31232;31232
2017;;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909
2018;;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909;34191.52909
